code_muni	code_state	name_region	Cidade_Estado	municipio_sigla	pop	Cidade	Sigla	estado	Total_Casos	incidencia
1100015	11	Norte	ALTA FLORESTA D'OESTE / RONDONIA	ALTA FLORESTA D'OESTE (RO)	21494	ALTA FLORESTA D'OESTE	RO	RONDONIA	32	148.87875686238
1100023	11	Norte	ARIQUEMES / RONDONIA	ARIQUEMES (RO)	96833	ARIQUEMES	RO	RONDONIA	197	203.443041112018
1100031	11	Norte	CABIXI / RONDONIA	CABIXI (RO)	5351	CABIXI	RO	RONDONIA	38	710.147635955896
1100049	11	Norte	CACOAL / RONDONIA	CACOAL (RO)	86887	CACOAL	RO	RONDONIA	75	86.3190120501341
1100056	11	Norte	CEREJEIRAS / RONDONIA	CEREJEIRAS (RO)	15890	CEREJEIRAS	RO	RONDONIA	102	641.913152926369
1100064	11	Norte	COLORADO DO OESTE / RONDONIA	COLORADO DO OESTE (RO)	15663	COLORADO DO OESTE	RO	RONDONIA	4	25.537891847028
1100072	11	Norte	CORUMBIARA / RONDONIA	CORUMBIARA (RO)	7519	CORUMBIARA	RO	RONDONIA	5	66.4982045484772
1100080	11	Norte	COSTA MARQUES / RONDONIA	COSTA MARQUES (RO)	12627	COSTA MARQUES	RO	RONDONIA	148	1172.09154985349
1100098	11	Norte	ESPIGAO D'OESTE / RONDONIA	ESPIGAO D'OESTE (RO)	29414	ESPIGAO D'OESTE	RO	RONDONIA	66	224.382946896036
1100106	11	Norte	GUAJARA-MIRIM / RONDONIA	GUAJARA-MIRIM (RO)	39387	GUAJARA-MIRIM	RO	RONDONIA	9	22.8501789930688
1100114	11	Norte	JARU / RONDONIA	JARU (RO)	50591	JARU	RO	RONDONIA	7	13.8364531240735
1100122	11	Norte	JI-PARANA / RONDONIA	JI-PARANA (RO)	124333	JI-PARANA	RO	RONDONIA	31	24.9330427159322
1100130	11	Norte	MACHADINHO D'OESTE / RONDONIA	MACHADINHO D'OESTE (RO)	30707	MACHADINHO D'OESTE	RO	RONDONIA	120	390.790373530465
1100148	11	Norte	NOVA BRASILANDIA D'OESTE / RONDONIA	NOVA BRASILANDIA D'OESTE (RO)	15679	NOVA BRASILANDIA D'OESTE	RO	RONDONIA	10	63.7795777791951
1100155	11	Norte	OURO PRETO DO OESTE / RONDONIA	OURO PRETO DO OESTE (RO)	35044	OURO PRETO DO OESTE	RO	RONDONIA	7	19.9748887113343
1100189	11	Norte	PIMENTA BUENO / RONDONIA	PIMENTA BUENO (RO)	35079	PIMENTA BUENO	RO	RONDONIA	5	14.2535420051883
1100205	11	Norte	PORTO VELHO / RONDONIA	PORTO VELHO (RO)	460434	PORTO VELHO	RO	RONDONIA	311	67.544968442817
1100254	11	Norte	PRESIDENTE MEDICI / RONDONIA	PRESIDENTE MEDICI (RO)	19327	PRESIDENTE MEDICI	RO	RONDONIA	132	682.982356289129
1100262	11	Norte	RIO CRESPO / RONDONIA	RIO CRESPO (RO)	3471	RIO CRESPO	RO	RONDONIA	3	86.4304235090752
1100288	11	Norte	ROLIM DE MOURA / RONDONIA	ROLIM DE MOURA (RO)	56406	ROLIM DE MOURA	RO	RONDONIA	27	47.8672481650888
1100296	11	Norte	SANTA LUZIA D'OESTE / RONDONIA	SANTA LUZIA D'OESTE (RO)	7419	SANTA LUZIA D'OESTE	RO	RONDONIA	10	134.789055128724
1100304	11	Norte	VILHENA / RONDONIA	VILHENA (RO)	95832	VILHENA	RO	RONDONIA	25	26.0873194757492
1100320	11	Norte	SAO MIGUEL DO GUAPORE / RONDONIA	SAO MIGUEL DO GUAPORE (RO)	21635	SAO MIGUEL DO GUAPORE	RO	RONDONIA	11	50.8435405592789
1100338	11	Norte	NOVA MAMORE / RONDONIA	NOVA MAMORE (RO)	25444	NOVA MAMORE	RO	RONDONIA	4	15.7207986165697
1100379	11	Norte	ALTO ALEGRE DOS PARECIS / RONDONIA	ALTO ALEGRE DOS PARECIS (RO)	11479	ALTO ALEGRE DOS PARECIS	RO	RONDONIA	29	252.635246972733
1100403	11	Norte	ALTO PARAISO / RONDONIA	ALTO PARAISO (RO)	16320	ALTO PARAISO	RO	RONDONIA	3	18.3823529411765
1100452	11	Norte	BURITIS / RONDONIA	BURITIS (RO)	27992	BURITIS	RO	RONDONIA	28	100.02857959417
1100502	11	Norte	NOVO HORIZONTE DO OESTE / RONDONIA	NOVO HORIZONTE DO OESTE (RO)	7667	NOVO HORIZONTE DO OESTE	RO	RONDONIA	2	26.0858223555498
1100601	11	Norte	CACAULANDIA / RONDONIA	CACAULANDIA (RO)	4150	CACAULANDIA	RO	RONDONIA	12	289.156626506024
